Generated using GEOMAGIA50.v3.3 on Nov/28/2023
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],SigmaAgeID,N_Ba,n_Ba[meas.],n_Ba[acc.],Ba[microT],SigmaBa[microT],VDM[E22_AmE2],SigmaVDM[E22_AmE2],N_Dir,n_Dir[meas.],n_Dir[acc.],Dec[deg.],Inc[deg.],Alpha95[deg.],K,MaxAF[mT],MaxTemp[deg.C],PubDataID,SiteName,LocationName,SiteLat[deg.],SiteLon[deg.],CountryRegionID,ArcheoVolcanic,MatID,PIMethID,AltMonID,MDMonID,CoolRID,AnisoID,DirMethID,DirAnalysisID,DatMethID,SpecTypeID,RefID,CompilationID,UploadMonth,UploadYear,Uploader,Editor,LastEditDate,UID,CrossUID,CrossRefID
      -50000,       50000,       50000,           1,        -999,        -999,        -999,       34.65,        9.15,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,0864a012015,-999,-999,     10.0000,    256.0000,          17,Volcanic,4,4,1,-1,          -1,          -1,           0,           0,110,1,         378,-1,-999,2009,Fabio Donadini,-999,-999,6873,-1,-1
      -50000,       50000,       50000,           1,        -999,        -999,        -999,       36.74,        2.43,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,0864a012050,-999,-999,     10.0000,    256.0000,          17,Volcanic,4,4,1,-1,          -1,          -1,           0,           0,110,1,         378,-1,-999,2009,Fabio Donadini,-999,-999,6874,-1,-1
      -50000,       50000,       50000,           1,        -999,        -999,        -999,       43.22,        7.92,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,0864a013015,-999,-999,     10.0000,    256.0000,          17,Volcanic,4,4,1,-1,          -1,          -1,           0,           0,110,1,         378,-1,-999,2009,Fabio Donadini,-999,-999,6875,-1,-1
      -50000,       50000,       50000,           1,        -999,        -999,        -999,       42.15,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,0864a013048,-999,-999,     10.0000,    256.0000,          17,Volcanic,4,4,1,-1,          -1,          -1,           0,           0,110,1,         378,-1,-999,2009,Fabio Donadini,-999,-999,6876,-1,-1
      -50000,       50000,       50000,           1,        -999,        -999,        -999,       33.42,        3.62,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,0864a015015,-999,-999,     10.0000,    256.0000,          17,Volcanic,4,4,1,-1,          -1,          -1,           0,           0,110,1,         378,-1,-999,2009,Fabio Donadini,-999,-999,6877,-1,-1
      -50000,       50000,       50000,           1,        -999,        -999,        -999,       36.30,        0.06,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,0864a016030,-999,-999,     10.0000,    256.0000,          17,Volcanic,4,4,1,-1,          -1,          -1,           0,           0,110,1,         378,-1,-999,2009,Fabio Donadini,-999,-999,6878,-1,-1
      -50000,       50000,       50000,           1,        -999,        -999,        -999,       39.68,        4.77,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,0864a016143,-999,-999,     10.0000,    256.0000,          17,Volcanic,4,4,1,-1,          -1,          -1,           0,           0,110,1,         378,-1,-999,2009,Fabio Donadini,-999,-999,6879,-1,-1
      -49900,          -1,          -1,           2,           1,        -999,           2,       18.20,        1.70,        4.38,        0.41,           1,        -999,           6,     -999.00,       25.00,       21.20,     -999.00,        -999,        -999,-999,-999,Hawaii Island - Kilauea (SOH-4 Core),     19.4700,    205.1000,          18,Volcanic,4,2,1,-1,          -1,          -1,           0,           0,107;109,1,         135,1001;1006;1011,-999,2007,Fabio Donadini,-999,-999,3349,-1,-1
      -49300,          -1,          -1,           2,           1,        -999,           2,       13.90,        1.20,        3.45,        0.30,           1,        -999,           4,     -999.00,       18.70,        6.00,     -999.00,        -999,        -999,-999,-999,Hawaii Island - Kilauea (SOH-4 Core),     19.4700,    205.1000,          18,Volcanic,4,2,1,-1,          -1,          -1,           0,           0,107;109,1,         135,1001;1006;1011,-999,2007,Fabio Donadini,-999,-999,3350,-1,-1
      -48600,          -1,          -1,           2,           1,        -999,           1,       15.60,     -999.00,        3.89,     -999.00,           1,        -999,           2,     -999.00,       18.10,        2.20,     -999.00,        -999,        -999,-999,-999,Hawaii Island - Kilauea (SOH-4 Core),     19.4700,    205.1000,          18,Volcanic,4,2,1,-1,          -1,          -1,           0,           0,107;109,1,         135,1001;1006;1011,-999,2007,Fabio Donadini,-999,-999,3351,-1,-1
